Site,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Selenium,Silver,Sodium,Strontium,Thallium,Titanium,Vanadium,Zinc,SoilType,percentageofCobbles,percentageofCoarseGravel,percentageofFineGravel,percentageofCoarseSand,percentageofMediumSand,percentageofFineSand,percentageofSilt,percentageofClay,Moisture,TotalOrganic
Carbonmg-kg,PFAS
01-FOR-01,1200,-0.17,0.58,7.8,-0.17,-22,-0.087,4.3,0.67,0.79,3100,2.7,0.42,540,25,-0.049,-1.1,1.9,0.23,-0.087,-87,1.6,-0.087,340,11,4,"SA with Silt a
Gravel",0,0,6,2.4,17.4,66.9,6.1,1.3,11,4300,0.297
02-FOR-01,1000,-0.18,1.1,5.6,-0.18,-23,-0.091,2.2,-0.46,1.1,2700,4,0.48,140,25,-0.062,-1.1,0.58,0.28,-0.091,-91,0.74,-0.091,100,6.9,3.1,SA with Silt,0,0,0.9,1.2,30,58.5,6.5,2.9,41.4,9500,0.356
03-FOR-01,3700,-0.17,1.3,18,-0.17,-21,-0.086,3.3,1.2,2.1,3900,5.8,1.9,390,170,-0.045,0.29,2.7,0.36,-0.086,-86,1.3,-0.086,100,6.3,14,"SA with Silt a
Clay",0,0,0,0.4,12.5,81.7,2.7,2.8,8.5,10000,0.842
04-FOR-01,1900,-0.19,0.79,18,-0.19,-24,-0.095,3,0.84,1.5,3500,4,1.8,360,120,-0.055,0.81,1.9,0.33,-0.095,-95,1.9,0.4,110,7.2,11,"SILTY SA with
Gravel a Clay",0,0,4,3.4,17.4,56.7,12.1,6.4,23.3,16000,0.463
05-FOR-01,1100,-0.14,0.54,26,-0.14,0.77,0.074,2,0.48,1.1,2200,2.7,0.47,140,320,-0.051,-0.85,0.97,-0.14,-0.068,-68,1.5,0.047,68,5.1,6.5,"SILTY SA with Clay
a Gravel",0,0,0.9,2.7,23,58,11.7,3.6,17.3,5000,0.745
06-FOR-01,2100,-0.15,0.64,16,0.11,-18,0.082,2.9,0.66,2.5,2200,19,1.9,360,17,0.021,-0.92,2.2,0.14,-0.073,-73,2.4,-0.073,57,4.6,6.8,"SA with Silt, Clay,
a Gravel",0,0,0.6,0.5,8.9,79.3,9.5,1.3,13.5,21000,0.798
07-FOR-01,7700,-0.21,3.2,26,-0.21,-27,-0.11,13,2.5,5.5,14000,7.5,6.3,1700,190,0.035,0.37,8,0.31,0.09,-110,3.2,-0.11,300,25,28,"SILTY SA with Clay
a Gravel",0,0,0.8,2.6,10.5,42,35.5,8.5,24.7,25000,1.028
08-FOR-01,6000,-0.17,2.1,47,0.28,2.2,0.17,10,4.8,4.8,8600,12,6.4,1500,520,0.029,0.44,7.6,0.23,-0.087,-87,5.3,0.12,130,14,28,"SILTY SA with Clay
a Gravel",0,3.6,1,2.2,11.2,46.2,25.1,10.7,17.5,15000,1.389
09-FOR-01,1600,-0.19,1.2,10,0.093,-24,0.15,3,0.61,1.5,2400,6.9,1.4,350,24,0.035,-1.2,1.7,0.24,-0.096,-96,5.4,-0.096,77,3.8,9.4,"SA with Silt, Clay,
a Gravel",0,0,0.3,0.4,14.9,78.6,1.6,4.2,20.6,38000,0.836
10-FOR-01,980,-0.15,0.79,15,-0.15,-19,-0.077,1.4,0.27,1.2,1900,7.4,0.67,170,120,-0.042,-0.96,0.79,-0.15,-0.077,-77,1.7,0.053,49,3.4,9,"SA with Silt a
Clay",0,0,0.4,0.7,24.4,66,3.9,4.7,12.7,18000,0.552
11-FOR-01,3100,0.21,2.3,12,-0.2,-25,0.13,5.4,0.36,2.2,4500,25,0.55,220,19,0.057,0.57,1.4,1,-0.1,-100,2.7,-0.1,100,13,20,"SA with Silt, Clay,
a Gravel",0,0,0.5,1.8,16.8,68.2,10.5,2.2,20.3,50000,1.665
12-FOR-01,3900,-0.17,2.9,50,0.18,1.3,0.17,6.7,3.3,5.6,6700,11,3.1,960,520,0.051,0.66,6.4,0.27,-0.085,-85,4.7,0.095,90,9.1,29,"SA with Silt, Clay,
a Gravel",0,0,6.4,5.6,23.9,53,7.3,3.9,15.6,19000,1.981
13-FOR-01,7300,-0.17,3.3,65,0.25,1.9,0.11,12,9.5,8,13000,16,9.6,1900,640,0.04,1.6,12,0.29,0.024,-87,5.8,0.16,130,20,40,"SILT with Clay, Sa,
a Gravel",0,0,1.9,1.9,7.9,36.7,37.5,14.1,22.3,17000,1.263
14-FOR-01,3800,-0.16,1.5,44,0.16,-20,0.13,4.7,1.9,2.4,4700,9.4,2.5,550,460,0.042,0.27,3.7,0.19,-0.082,-82,5,-0.082,97,7.5,19,"SILTY SA with Clay
a Gravel",0,0,0.5,0.4,14.3,70.4,12.6,1.9,14.9,12000,1.315
15-FOR-01,1800,-0.18,0.77,5.6,-0.18,-22,-0.089,2.1,0.34,1.6,2900,2.2,1.4,210,12,-0.058,0.53,1.6,-0.18,-0.089,-89,1.3,-0.089,65,5.7,5.8,"SILTY SA with Clay
a Gravel",0,0,1.2,0.9,17.9,64.1,12.9,2.9,18.6,6900,0.462
16-FOR-01,3500,-0.17,1.5,24,-0.17,-21,-0.083,4.4,1.1,2.2,4700,5.9,3,580,150,-0.064,-1,2.7,0.33,-0.083,-83,2.4,0.053,150,7.8,13,SILTY SA with Clay,0,0,0.5,1.1,10.6,68.5,14,5.3,13.9,7600,0.42
17-FOR-01,2800,-0.16,0.81,15,-0.16,-20,0.047,3.4,0.63,2.6,4600,9.3,1.4,260,33,-0.053,-0.99,1.7,0.18,0.029,-79,2,-0.079,160,10,9.1,"SA with Silt, Clay,
a Gravel",0,0,1.2,2.9,36.9,48.7,6.5,3.8,16,18000,0.425
18-FOR-01,3000,-0.16,0.52,11,-0.16,-20,0.065,2.2,0.39,1.3,2500,2.4,1.4,190,34,0.025,-1,1.6,0.13,-0.081,-81,0.93,-0.081,72,4.9,5.4,"SA with Silt a
Clay",0,0,0.3,0.3,21.1,72.2,4.3,1.8,19.4,13000,0.553
19-FOR-01,6400,-0.17,3.9,37,0.32,2.6,0.18,9.7,4.1,6.6,11000,11,8.5,1500,210,0.045,0.52,7.8,0.29,0.032,-83,5,0.16,110,16,29,SILTY SA with Clay,0,0,0.4,1.4,6.4,46.5,28.5,16.7,18.4,16000,1.104
20-FOR-01,2700,-0.17,0.54,29,0.059,-22,0.069,2.9,0.78,1.4,3000,3.6,1.5,270,230,-0.046,-1.1,2.2,-0.17,-0.087,-87,2.5,-0.087,87,5.3,9.5,"SA with Silt, Clay,
a Gravel",0,0,0.6,0.5,21.3,66.8,7.8,3,20.9,9600,0.666
21-FOR-01,2300,-0.18,0.73,12,-0.18,-23,-0.091,2.8,-0.46,1,3900,4.4,2.6,160,11,-0.053,-1.1,1,-0.18,-0.091,-91,0.95,-0.091,110,7.5,4.4,SILTY SA with Clay,0,0,0.8,1,5.9,80.2,8.3,3.9,17.7,12000,0.761
22-FOR-01,2000,-0.15,0.91,23,-0.15,-19,-0.077,2.9,0.67,1.3,4600,3.9,1.3,260,180,-0.045,-0.96,1.5,-0.15,0.044,-77,2.5,-0.077,120,9.1,8.4,"SA with Silt a
Clay",0,0,0,0.4,11.2,76.9,7,4.6,13.9,6500,0.371
23-FOR-01,5500,-0.2,2.6,33,0.1,1.8,0.076,8,3.4,4.8,8600,12,7.3,1200,150,0.039,0.56,6.5,0.26,0.028,-100,5.6,0.12,180,16,29,"SILTY SA with Clay
a Gravel",0,0,1.2,2.1,8.1,47.8,31.9,8.9,23.1,22000,1.179
24-FOR-01,240,-0.15,0.27,5.2,-0.15,-19,-0.077,0.68,-0.38,0.43,590,2,-1.5,-77,46,-0.052,-0.96,-0.77,0.13,-0.77,-77,0.71,-0.077,37,1.7,1.6,"SA with Silt, Clay,
a Gravel",0,0,0.2,0.4,27.4,65.6,5.4,1,11.6,5700,0.234
25-FOR-01,5000,0.11,8.3,41,0.27,4.2,0.29,12,3.7,9.5,10000,34,6.7,7600,240,0.053,0.63,11,0.25,0.029,-73,15,0.08,120,14,59,"SILTY SA with Clay
a Gravel",0,0,13,7.9,12.6,46.3,13.3,6.8,17.3,28000,1.599
26-FOR-01,2000,-0.14,0.65,9.8,0.067,-17,0.063,2,0.34,1,2300,3.4,1.2,100,37,0.02,-0.86,0.9,0.16,-0.068,-68,0.91,0.068,75,4.7,7.4,"SA with Silt, Clay,
a Gravel",0,0,1.4,1.6,12.2,79,2.1,3.8,8.7,6800,0.668
27-FOR-01,4200,-0.24,1.1,29,-0.24,-30,-0.12,7.8,2.1,5.7,10000,5.9,4.2,1100,81,0.037,-1.5,5.2,-0.24,0.059,-120,5.2,-0.12,730,24,17,"SILTY SA with Clay
a Gravel",0,0,5.2,4.9,14.1,40.6,23.1,12,24,26000,0.539
28-FOR-01,460,-0.18,0.46,8.2,-0.18,-22,-0.088,0.78,-0.44,0.77,1000,3.3,-1.8,-88,93,-0.047,-1.1,0.31,-0.18,-0.088,-88,0.91,-0.088,39,2.2,1.8,SA with Silt,0,0,0.6,0.4,21.4,70.7,4.5,2.5,11.2,7300,0.437
29-FOR-01,5200,-0.21,2.1,45,0.25,1.4,0.25,7,1.3,11,4900,12,3.4,860,29,0.073,0.37,6.6,1.2,0.038,-110,23,0.081,110,16,14,"CLAYEY SA with
Silt a Gravel",0,0,1.5,2.3,18.3,64.5,5.2,8.2,39.7,100000,1.516
30-FOR-01,5400,0.15,4.2,35,0.14,1.5,0.079,8.1,4.5,7.3,9800,14,5.4,1200,450,0.031,1.4,8.8,0.28,-0.097,-97,4.3,0.2,150,15,35,"SILTY SA with Clay
a Gravel",0,0,3.9,2.9,12.1,50.6,22.8,7.7,17.9,13000,1.556
31-FOR-01,2800,-0.19,0.77,24,-0.19,1.1,-0.095,5.6,1.3,5.8,6600,5,2.4,920,75,-0.057,-1.2,3.3,-0.19,0.042,-95,4,-0.095,260,12,15,"SILTY SA with Clay
a Gravel",0,0,0.5,1.3,9.4,43,29.1,16.7,26.1,20000,0.418
32-FOR-01,7400,-0.3,9.6,120,0.33,14,0.52,11,4.4,20,16000,14,10,4100,510,0.12,4.2,17,2.5,0.046,140,180,0.13,150,25,71,"SILT with Sa, Clay,
a Gravel",0,0,0.1,0.9,17.4,25.1,29.5,27.1,54.3,180000,0.96
33-FOR-01,5000,-0.16,4,40,0.13,-20,-0.081,7.5,4.7,7.3,13000,12,4.4,990,550,0.03,0.57,7,0.24,-0.081,-81,3.7,0.11,180,20,35,"SILTY SA with Clay
a Gravel",0,0,3.5,3.6,13.2,54.8,17.1,7.8,9.1,26000,1.364
34-FOR-01,6000,-0.2,2.8,51,0.26,1.6,0.16,10,4.6,6.3,9500,12,5.8,1800,600,0.032,0.46,7.1,0.25,-0.1,-100,4.7,0.1,230,17,31,"SILTY SA with Clay
a Gravel",0,15,4.3,7.8,11.4,30.6,22.8,8.1,15.7,19000,1.372
35-FOR-01,3800,-0.22,1.4,19,-0.22,-28,-0.11,7,1,2.5,5900,6.9,2.4,570,42,0.026,0.35,2.9,0.73,-0.11,-110,5.1,0.075,130,15,13,"SA with Silt, Clay,
a Gravel",0,0,1.3,1.2,21.5,68.6,3.3,4.1,22.3,30000,0.687
36-FOR-01,6600,-0.21,2.7,28,-0.21,-27,-0.11,13,4.2,5.9,16000,9.3,6.4,1700,350,0.1,0.42,9.7,0.3,0.066,-110,3.7,-0.11,410,27,26,"SILTY SA with
Gravel a Clay",0,0,9.1,7.1,11.2,35.3,30.7,6.6,32.5,32000,1.151
37-FOR-01,3300,-0.18,2.4,33,0.13,1.5,0.17,5.6,2.4,4,6300,11,3.2,920,510,0.03,0.37,4.7,0.17,0.025,-91,3.6,0.067,130,9.3,26,"SA with Silt, Clay,
a Gravel",0,0,6.6,8.7,28.9,44.9,8.3,2.7,17.5,29000,0.911
38-FOR-01,3300,-0.17,3.1,50,0.15,-21,0.064,5.4,2.3,3.9,11000,12,2.3,550,580,0.039,0.69,5.5,0.21,-0.085,-85,3.6,0.074,95,9.7,31,"SILTY SA with Clay
a Gravel",0,0,0.3,0.5,14.3,69.3,11.3,4.3,19.7,16000,1.341
39-FOR-01,4100,-0.13,2.1,50,0.17,0.78,0.12,5.9,2.2,3.3,5700,9.7,2.8,750,520,0.028,0.39,4.1,0.17,-0.067,-67,3.2,0.09,93,8,25,SILTY SA with Clay,0,0,0,0.6,26.4,57.3,11.7,4,11.2,13000,1.668
40-FOR-01,450,-0.17,0.24,13,-0.17,-21,0.069,0.71,-0.42,0.81,620,3.4,-1.7,57,33,-0.047,-1.1,0.48,-0.17,-0.084,-84,0.65,-0.084,31,1.3,2.7,"SA with Silt a
Clay",0,0,0,0.2,23.5,69.9,4.7,1.6,18.3,5500,0.527
41-FOR-01,2800,-0.18,1.3,18,-0.18,-23,0.086,2.7,0.4,2,3100,18,1.6,170,31,0.032,-1.1,1.5,0.24,-0.092,-92,2,-0.092,84,5.5,27,"SA with Silt, Clay,
a Gravel",0,0,0.2,0.8,12.9,74.1,7,4.9,27.3,29000,1.15
42-FOR-01,4300,-0.17,1.6,14,0.1,2.4,-0.085,16,5.2,15,14000,5,9.1,3100,120,-0.05,-1.1,13,-0.17,0.027,-85,4.5,-0.085,1200,36,17,SA with Silt,0,0,4.4,4.5,18.1,65.5,3.3,4.2,13.6,21000,0.424
43-FOR-01,1500,-0.18,0.65,21,-0.18,-22,-0.088,1.6,-0.44,1.1,2100,8.4,0.55,83,12,-0.053,-1.1,0.75,0.15,-0.088,-88,1.5,-0.088,63,4.5,5.9,"SA with Silt a
Clay",0,0,0.9,0.7,23.6,64.8,3.6,6.5,25.1,18000,0.912
44-FOR-01,4400,-0.18,2.9,27,0.19,-22,0.13,7.2,2.4,4,7200,12,3.6,810,290,0.025,0.5,5.1,0.18,-0.09,-90,2.3,0.056,150,12,26,"SILTY SA with Clay
a Gravel",0,0,2.6,3.5,12.2,60.4,15.8,5.4,14.5,16000,1.078
45-FOR-01,2100,-0.14,1.1,17,-0.14,-18,-0.071,2.4,0.62,1.1,2800,4.1,2.1,300,290,-0.037,-0.89,1.3,0.11,-0.071,-71,1,0.049,82,5.5,9,SA with Silt,0,0,0.6,0.8,19.3,72,4.4,2.9,6.6,6400,0.766
46-FOR-01,5100,-0.16,2.7,34,0.17,1.2,0.098,7.3,4,5,7100,11,7.1,970,340,0.049,1.7,6.8,0.38,0.033,-82,4.4,0.21,100,14,24,SILTY SA with Clay a Gravel,0,0,0.3,1.1,12.2,59.6,14.4,12.6,26.3,16000,1.767
47-FOR-01,4100,-0.13,2.7,26,0.12,1,0.069,7.1,2.9,4.8,7800,8,3.9,1300,280,0.02,0.47,7,0.15,-0.065,-65,10,0.071,130,11,24,"SILTY SA with Clay
a Gravel",0,0,2.8,2.2,12.6,60.7,15.4,6.3,16.1,18000,0.994
48-FOR-01,6300,-0.18,1.3,38,0.15,2.9,0.084,11,6.3,4.3,9900,9.4,5.4,1600,360,0.039,0.5,5,0.69,0.051,110,11,0.092,300,24,26,"SILT with Sa a
Clay",0,0,0,1.2,5.2,15,53,25.6,32.3,26000,0.831
49-FOR-01,1000,-0.24,0.68,9.6,-0.24,-30,-0.12,1.3,-0.61,1,800,7.5,-2.4,160,16,0.051,-1.5,0.59,0.2,-0.12,-120,2.6,-0.12,72,2,2.8,"SA with Silt a
Clay",0,0,0.3,1.6,13.9,75,5,4.3,26.6,39000,0.991
50-FOR-01,3900,-0.16,2.5,15,0.17,-20,0.083,5.5,1.6,3.2,5100,11,2.6,690,110,0.019,0.36,4.3,0.15,-0.082,-82,1.9,0.049,140,8.5,23,"SA with Silt, Clay,
a Gravel",0,0,0.8,0.8,8.1,82,5,3.3,7.5,6200,0.695
51-FOR-01,1500,-0.15,0.8,9.7,-0.15,-19,-0.076,1.8,0.21,1,2200,7.4,1.1,150,73,-0.053,-0.95,0.79,0.16,-0.076,-76,1.4,0.1,66,3.8,6,"SA with Silt a
Clay",0,0,0,0.8,19.6,72.8,1.9,4.9,25,15000,0
52-FOR-01,4900,-0.14,1.3,21,0.063,-18,-0.071,6.6,2.1,3,8700,4.7,3.8,600,260,0.028,0.25,4.3,0.23,0.036,-71,1.9,0.044,190,17,15,SILTY SA with Clay,0,0,0.6,1.4,17.9,61.8,14.8,3.5,15.4,13000,0.438
53-FOR-01,1500,-0.17,0.87,14,-0.17,-21,-0.085,1.8,0.47,1,2400,6.6,1.8,220,220,-0.044,-1.1,0.87,-0.17,-0.085,-85,1.1,-0.085,68,4,7,"SA with Silt a
Clay",0,0,0.9,1.1,21.8,70.3,2.7,3.3,12.8,13000,0.76
54-FOR-01,10000,-0.45,3.4,99,0.15,7.2,1.7,11,1.6,13,5900,27,4.4,3100,160,0.51,1.5,6.2,4,0.084,-230,41,0.21,150,16,84,"CLAYEY SA with
Silt, Gravel, a Peat",0,0,0.1,16.3,41,9.3,12.3,20.9,74.4,395000,1.27
55-FOR-01,460,-0.19,0.22,6.7,-0.19,-24,-0.096,0.42,-0.48,0.29,190,2.7,-1.9,-96,5.9,-0.048,-1.2,-0.96,-0.19,-0.096,-96,0.69,-0.096,76,1,-2.4,SILTY SA with Clay,0,0,0,0.1,1.4,79.5,13.8,5.1,22.6,9200,0.49
56-FOR-01,4200,-0.12,0.8,7.8,0.075,-15,0.048,2.1,0.21,0.88,1600,2.9,1.3,66,3.9,0.033,0.22,0.79,0.25,-0.061,-61,0.58,0.07,65,4.1,2.3,"SA with Silt, Clay,
a Gravel",0,0,0.1,0.4,12.9,80,3.1,3.6,10.7,12000,0.979
57-FOR-01,1900,-0.17,0.75,26,-0.17,-21,0.054,2.7,1.1,1.4,3300,5.8,1.9,300,400,-0.061,-1.1,1.7,0.13,-0.085,-85,2.3,-0.085,92,5.6,12,"SILTY SA with Clay
a Gravel",0,0,3.1,1.6,15.5,60,14.3,5.4,24.9,19000,0.895
58-FOR-01,3600,-0.19,0.88,18,-0.19,-24,-0.096,4.4,0.72,2.3,2400,8,2.7,480,23,0.028,-1.2,2.4,0.21,-0.096,-96,4.6,0.073,100,6.5,9.4,"SA with Silt a
Clay",0,0,0.2,0.2,7.6,76.6,11.1,4.3,19.5,19000,1.094
59-FOR-01,3600,-0.16,1.1,22,-0.16,-20,-0.082,3.8,1.1,2.7,4300,9.4,2.5,530,180,0.026,0.26,2.8,0.15,-0.082,-82,2.5,0.053,110,6,19,"SA with Silt, Clay,
a Gravel",0,0,0.3,0.6,22.3,66.3,7.5,3,19.4,11000,1.198
60-FOR-01,2300,-0.19,0.7,16,-0.19,-24,0.096,3.1,0.8,1.3,3200,4.2,1.7,320,140,-0.058,0.31,2.3,-0.19,-0.095,-95,1.7,-0.095,110,6.9,13,"SA with Silt, Clay,
a Gravel",0,0,3.7,3.3,29.5,53.5,6.8,3.2,20.4,9100,0.429
61-FOR-01,2600,-0.13,0.76,9.2,-0.13,-17,-0.066,2.4,0.3,0.78,2700,8,0.99,180,9.5,0.026,0.26,1.2,0.14,-0.066,-66,0.87,-0.066,57,4.8,6.4,"SA with Silt, Clay,
a Gravel",0,0,0.1,0.4,5.6,88.3,4.4,1.3,8.8,9100,0.939
62-FOR-01,3800,-0.16,1.1,47,0.056,-20,0.092,5.2,1.4,2.5,5600,9.8,3,610,330,0.027,0.25,2.9,0.14,-0.08,-80,4.1,0.056,140,11,24,"SILTY SA with Clay
a Gravel",0,0,0.3,1,15.8,67.9,11.1,4,13.6,17000,1.667
63-FOR-01,4200,-0.17,2.4,30,0.24,-21,0.12,7,2.1,3.5,7700,12,2.6,860,370,0.028,0.75,5.7,0.16,-0.085,-85,2.8,0.072,140,11,29,"SA with Silt, Clay,
a Gravel",0,0,2.1,2.2,17.2,70.5,6,2.1,10.1,8800,0.84
64-FOR-01,2500,-0.2,2.1,23,-0.2,-25,-0.099,3.3,1.4,2.1,4300,11,3.1,420,350,-0.048,-1.2,2.2,0.17,-0.099,-99,1.5,-0.099,100,8,18,"SA with Silt, Clay,
a Gravel",0,0,2.4,1.8,11.8,74.8,5.2,4,23.2,13000,0.994
65-FOR-01,2900,-0.15,1.1,11,0.058,-19,0.05,3.8,0.55,1.1,4400,4,2.1,230,64,-0.053,0.24,2.4,0.17,-0.077,-77,1.1,0.1,130,10,11,"SA with Silt, Clay,
a Gravel",0,0,0.7,0.7,12.6,79.1,4.3,2.6,21.5,8400,0.691
66-FOR-01,5300,-0.19,1.8,40,0.07,1.7,0.2,15,4.6,45,16000,8.8,11,2400,190,-0.058,0.31,9.2,0.19,0.089,-97,7.8,0.1,1100,32,33,"SILTY SA with Clay
a Gravel",0,0,13.7,14.1,23.8,35.8,7.4,5.3,20.8,30000,0.37
67-FOR-01,2400,-0.14,0.87,19,-0.14,-18,-0.072,2.7,0.84,1.3,3300,5,1.6,240,230,-0.042,-0.9,1.6,0.14,-0.072,-72,1.6,-0.072,92,5.1,14,"SA with Silt, Clay,
a Gravel",0,0,0.1,0.5,5.5,83.6,5.7,4.6,10.5,11000,0.766
68-FOR-01,2200,-0.16,0.48,8.7,-0.16,-20,-0.079,2,0.53,0.75,2200,2.3,1.2,170,95,-0.047,-0.98,1.6,-0.16,-0.079,-79,0.93,0.065,75,4.5,8.1,"SA with Silt, Clay,
a Gravel",0,0,2.2,0.6,15.1,75.2,3,3.9,21.7,7400,0.464
69-FOR-01,1600,-0.18,0.64,12,-0.18,-23,0.062,2,0.34,1.1,2400,3.6,0.7,150,110,-0.045,-1.1,1.2,-0.18,-0.091,-91,1.3,-0.091,77,4.9,7.3,"SA with Silt, Clay,
a Gravel",0,0,0.7,1,22.3,65.4,6.4,4.2,21.9,8900,0.699
70-FOR-01,4300,-0.17,1.4,47,0.1,-22,0.16,5.7,1.8,3.1,6000,12,2.2,650,450,0.037,0.36,3.5,0.23,-0.086,-86,3.9,-0.086,140,9.9,25,"SILTY SA with Clay
a Gravel",0,0,4,3.5,17.4,61.6,10.1,3.4,14.8,18000,1.391
71-FOR-01,2400,-0.19,0.61,15,-0.19,-24,-0.097,3.1,0.61,0.93,3200,2.2,1.8,270,72,-0.055,-1.2,1.5,0.32,-0.097,-97,1.6,-0.097,120,6.3,5.4,"SILTY SA with
Gravel a Clay",0,0,1.7,1.6,14.6,66.7,10.8,4.5,12.9,8100,0.618
72-FOR-01,3200,-0.17,0.96,11,-0.17,-21,0.063,2.9,0.4,1.1,3800,3.3,1.6,160,31,-0.053,-1.1,1.6,0.15,-0.084,-84,1.3,-0.084,110,7.9,6.3,"SA with Silt, Clay,
a Gravel",0,0,0.1,0.6,19.3,70.8,5.4,3.8,21.7,8800,0.58
73-FOR-01,16000,-0.21,5.9,110,0.75,12,0.29,27,10,25,24000,21,32,9400,240,0.086,0.52,32,0.83,0.088,110,32,0.22,220,38,86,"CLAYEY SILT with
Sa a Gravel",0,0,0.4,0.8,8.4,14.1,46,30.3,33.3,55000,2.016
74-FOR-01,5700,-0.17,1.7,19,0.12,-21,0.15,4.3,0.49,3.1,5100,7.8,2.3,210,21,0.048,0.52,2.3,0.38,-0.084,-84,2.1,0.057,130,11,13,"SA with Silt a
Clay",0,0,0,0.7,7.6,83,4,4.6,17.3,23000,1.681
75-FOR-01,3800,-0.15,1.8,20,0.095,-19,0.054,5.3,1.2,2,5400,11,2.9,540,100,0.047,0.49,2.8,0.22,-0.077,-77,2,0.09,100,7.8,16,"SILTY SA with Clay
a Gravel",0,0,7.4,3.6,22.7,51.5,10.3,4.5,11.7,14000,1.095
76-FOR-01,5600,-0.19,6.1,36,0.29,-24,0.2,8,3.8,4.7,10000,12,8.9,1200,190,0.031,0.54,7.1,0.24,-0.097,-97,3.2,0.076,65,17,32,"SILTY SA with Clay
a Gravel",0,0,1.5,3,8.1,52.8,18.5,16.1,23.2,19000,0.843
77-FOR-01,1300,-0.17,0.62,19,-0.17,-21,-0.085,1.9,0.33,1.5,2500,5.3,0.66,170,110,-0.054,-1.1,1,0.13,0.035,-85,3.8,-0.085,82,4.2,6.3,SILTY SA with Clay,0,0,0.1,0.7,11.4,72.1,11.1,4.5,18.5,26000,0.656
78-FOR-01,3600,-0.19,2.1,26,0.15,1.1,0.11,5.8,1.5,2.8,5900,8.9,3.3,760,110,0.03,0.37,3.2,0.22,-0.094,-94,3.9,0.1,120,9.9,22,"CLAYEY SA with
Silt a Gravel",0,0,0.6,1.2,10.4,73.2,6.9,7.7,17,18000,1.069
79-FOR-01,3000,-0.15,9.4,21,0.15,-18,0.2,3.8,1.1,1.9,8000,8.9,2.6,400,40,0.033,0.48,2.3,0.22,-0.073,-73,3,0.052,75,14,18,"SA with Silt, Clay,
a Gravel",0,0,0.7,1.4,5.3,83.3,4.4,4.8,19.1,25000,0.91
80-FOR-01,670,-0.19,0.68,5.4,-0.19,-24,-0.097,1.6,-0.48,0.83,2300,4.8,-0.19,78,10,-0.05,-1.2,0.53,0.22,-0.097,-97,0.9,-0.097,130,6.9,4.2,"SA with Silt a
Clay",0,0,0,0.1,1.4,94.6,1.6,2.3,9.4,11000,0.465
81-FOR-01,4400,-0.18,3.5,29,0.11,-22,-0.089,6.9,2.6,4.2,8300,10,4,870,280,0.032,0.55,6,0.2,-0.089,-89,3.3,0.082,130,13,26,"SILTY SA with Clay
a Gravel",0,0,5.8,2.3,7.8,62.5,13.7,7.9,20.7,14000,0.938
82-FOR-01,3900,-0.16,2.2,19,0.2,-20,0.27,4.4,0.96,4.3,5100,12,3.1,480,55,0.044,0.89,3,0.35,0.026,-80,6.5,0.069,100,9,24,"CLAYEY SA with
Silt",0,0,0,0.2,7.2,80.3,5.4,6.9,17.3,26000,1.951
83-FOR-01,1800,-0.18,1.1,51,-0.18,-23,0.12,2.5,1,2,3500,8.4,1.9,270,670,-0.05,-1.1,1.6,0.14,-0.091,-91,3.5,0.06,93,6.8,18,"SILTY SA with Clay
a Gravel",0,0,5.7,2.6,24.4,54,8.6,4.7,22.3,17000,0.753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND = non-detect; not detected above the method detection limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J = result is less than the RL but greater than or equal to the MDL and the concentration is an approximate value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL = Reporting Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDL = Maximum Detectable Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
